"구분별(1)",구분별(2),2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022
"구분별(1)",구분별(2),사례수 (명),보유 (%),미보유 (%),사례수 (명),보유 (%),미보유 (%),사례수 (명),보유 (%),미보유 (%),사례수 (명),보유 (%),미보유 (%),사례수 (명),보유 (%),미보유 (%),사례수 (명),보유 (%),미보유 (%),사례수 (명),보유 (%),미보유 (%),사례수 (명),보유 (%),미보유 (%),사례수 (명),보유 (%),미보유 (%),사례수 (명),보유 (%),미보유 (%),사례수 (명),보유 (%),미보유 (%),사례수 (명),보유 (%),미보유 (%)
"월평균소득",100-200만원미만,1976.0,26.7,73.3,1819.0,54.1,45.9,1838.0,72.0,28.0,1762.8,79.3,20.7,1786.0,84.4,15.6,1816.0,86.7,13.3,1790.0,90.2,9.8,2162.0,93.7,6.3,2036.0,93.1,6.9,1660.5,94.1,5.9,1428.7,96.0,4.0,1241.7,96.9,3.1
"월평균소득",200-300만원미만,1544.0,29.8,70.2,1361.0,60.9,39.1,1491.0,80.9,19.1,1506.1,88.3,11.7,1456.0,92.9,7.1,1493.0,96.1,3.9,1450.0,97.1,2.9,1677.0,98.2,1.8,2260.0,98.5,1.5,2372.8,99.2,0.8,2340.9,99.2,0.8,2307.5,99.4,0.6
"월평균소득",300-400만원미만,810.0,31.5,68.5,783.0,67.1,32.9,785.0,85.6,14.4,812.6,90.6,9.4,837.0,94.2,5.8,884.0,96.8,3.2,969.0,97.7,2.3,665.0,98.8,1.2,993.0,99.8,0.2,1154.7,99.8,0.2,1386.7,100.0,0.0,1546.7,100.0,0.0
"월평균소득",400-500만원미만,292.0,32.8,67.2,236.0,67.4,32.6,297.0,84.6,15.4,330.2,93.1,6.9,352.0,96.4,3.6,344.0,98.9,1.1,349.0,98.3,1.7,239.0,98.3,1.7,319.0,98.9,1.1,326.8,99.9,0.1,386.4,99.9,0.1,423.8,100.0,0.0
"월평균소득",500만원이상,-,-,-,239.0,73.1,26.9,235.0,84.6,15.4,207.5,92.7,7.3,235.0,95.0,5.0,242.0,96.4,3.6,251.0,99.8,0.2,181.0,98.2,1.8,267.0,99.4,0.6,266.7,100.0,0.0,299.8,100.0,0.0,295.4,99.2,0.8
"월평균소득",500-600만원미만,168.0,33.0,67.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"월평균소득",600-700만원미만,31.0,47.6,52.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"월평균소득",700-800만원미만,15.0,42.9,57.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"월평균소득",800만원이상,32.0,21.0,79.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"월평균소득",무응답,17.0,12.7,87.3,5.0,52.9,47.1,-,100.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
