"죄종별(1)",죄종별(2),죄종별(3),죄종별(4),1990,1991,1992,1993,1994,1994,1995,1995,1996,1996,1997,1997,1998,1998,1999,1999,2000,2000,2001,2001,2002,2002,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010
"죄종별(1)",죄종별(2),죄종별(3),죄종별(4),발생건수 (건),발생건수 (건),발생건수 (건),발생건수 (건),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개),발생건수 (건),법인체 (개)
"형법범",강력범,강도,약취강도,-,-,-,-,3,-,6,-,1,-,16,-,-,-,53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",강력범,강도,인질강도,-,-,-,-,-,-,-,-,-,-,-,-,41,-,-,-,73,-,111,-,210,-,235,-,108,-,78,-,69,-,48,-,85,-,70,-,46,-
"형법범",강력범,강도,강도상해·치상,-,-,-,-,1681,-,1415,-,1477,-,1788,-,2281,-,1898,1,1885,-,1856,-,1709,-,2140,-,2054,-,1602,-,1488,-,1459,-,1502,-,1810,-,1365,-
"형법범",강력범,강도,특가법(강도상해재범),-,-,-,-,13,-,2,-,2,-,5,-,4,-,3,-,1,-,2,-,14,-,22,-,66,-,15,-,20,-,37,-,13,-,7,-,10,-
"형법범",강력범,강도,강도살인·치사,-,-,-,-,52,-,47,-,46,-,78,-,109,-,90,-,75,-,87,-,95,-,108,-,88,-,98,-,91,-,81,-,62,-,89,-,70,-
"형법범",강력범,강도,강도강간,-,-,-,-,122,-,119,-,122,-,208,-,221,-,224,-,315,-,391,-,401,-,466,-,398,-,364,-,338,-,208,-,194,-,298,-,181,-
"형법범",강력범,강도,특가법(강도강간),-,-,-,-,54,-,18,-,9,-,8,-,9,-,23,-,26,-,43,-,22,-,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",강력범,강도,특가법(강도강간재범),-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",강력범,강도,상습(특수·인질·해상강도),-,-,-,-,2,-,4,-,1,-,1,-,2,-,2,-,1,-,1,-,-,-,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",강력범,강도,일반강도죄,1236,790,601,733,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",강력범,강도,특수강도죄,1472,1005,1002,1090,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",강력범,강도,준강도죄,187,135,128,178,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",강력범,강도,약취강도죄,8,8,6,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",강력범,강도,해상강도죄,7,10,10,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",강력범,강도,강도상해치상죄,1495,1092,1130,1461,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",강력범,강도,강도살인치사죄,60,39,50,53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
